league,season,raw_name,rank,played,points,gf,ga,ppg
eng.1,2021,Manchester City,1,38,93,99,26,2.4473684210526314
eng.1,2021,Liverpool,2,38,92,94,26,2.4210526315789473
eng.1,2021,Chelsea,3,38,74,76,33,1.9473684210526316
eng.1,2021,Tottenham Hotspur,4,38,71,69,40,1.868421052631579
eng.1,2021,Arsenal,5,38,69,61,48,1.8157894736842106
eng.1,2021,Manchester United,6,38,58,57,57,1.5263157894736843
eng.1,2021,West Ham United,7,38,56,60,51,1.4736842105263157
eng.1,2021,Leicester City,8,38,52,62,59,1.368421052631579
eng.1,2021,Brighton & Hove Albion,9,38,51,42,44,1.3421052631578947
eng.1,2021,Wolverhampton Wanderers,10,38,51,38,43,1.3421052631578947
eng.1,2021,Newcastle United,11,38,49,44,62,1.2894736842105263
eng.1,2021,Crystal Palace,12,38,48,50,46,1.263157894736842
eng.1,2021,Brentford,13,38,46,48,56,1.2105263157894737
eng.1,2021,Aston Villa,14,38,45,52,54,1.1842105263157894
eng.1,2021,Southampton,15,38,40,43,67,1.0526315789473684
eng.1,2021,Everton,16,38,39,43,66,1.0263157894736843
eng.1,2021,Leeds United,17,38,38,42,79,1
eng.1,2021,Burnley,18,38,35,34,53,0.9210526315789473
eng.1,2021,Watford,19,38,23,34,77,0.6052631578947368
eng.1,2021,Norwich City,20,38,22,23,84,0.5789473684210527
eng.2,2021,Fulham,1,46,90,106,43,1.9565217391304348
eng.2,2021,AFC Bournemouth,2,46,88,74,39,1.9130434782608696
eng.2,2021,Huddersfield Town,3,46,82,64,47,1.7826086956521738
eng.2,2021,Nottingham Forest,4,46,80,73,40,1.7391304347826086
eng.2,2021,Sheffield United,5,46,75,63,45,1.6304347826086956
eng.2,2021,Luton Town,6,46,75,63,55,1.6304347826086956
eng.2,2021,Middlesbrough,7,46,70,59,50,1.5217391304347827
eng.2,2021,Blackburn Rovers,8,46,69,59,50,1.5
eng.2,2021,Millwall,9,46,69,53,45,1.5
eng.2,2021,West Bromwich Albion,10,46,67,52,45,1.4565217391304348
eng.2,2021,Queens Park Rangers,11,46,66,60,59,1.434782608695652
eng.2,2021,Coventry City,12,46,64,60,59,1.391304347826087
eng.2,2021,Preston North End,13,46,64,52,56,1.391304347826087
eng.2,2021,Stoke City,14,46,62,57,52,1.3478260869565217
eng.2,2021,Swansea City,15,46,61,58,68,1.326086956521739
eng.2,2021,Blackpool,16,46,60,54,58,1.3043478260869565
eng.2,2021,Bristol City,17,46,55,62,77,1.1956521739130435
eng.2,2021,Cardiff City,18,46,53,50,68,1.1521739130434783
eng.2,2021,Hull City,19,46,51,41,54,1.108695652173913
eng.2,2021,Birmingham City,20,46,47,50,75,1.0217391304347827
eng.2,2021,Reading,21,46,41,54,87,0.8913043478260869
eng.2,2021,Peterborough United,22,46,37,43,87,0.8043478260869565
eng.2,2021,Derby County,23,46,34,45,53,0.7391304347826086
eng.2,2021,Barnsley,24,46,30,33,73,0.6521739130434783
uefa.champions,2021,Paris Saint-Germain,2,6,11,13,8,1.8333333333333333
uefa.champions,2021,Manchester City,1,6,12,18,10,2
uefa.champions,2021,Club Brugge,4,6,4,6,20,0.6666666666666666
uefa.champions,2021,RB Leipzig,3,6,7,15,14,1.1666666666666667
uefa.europa,2021,Lyon,1,6,16,16,5,2.6666666666666665
uefa.europa,2021,Rangers,2,6,8,6,5,1.3333333333333333
uefa.europa,2021,Sparta Prague,3,6,7,6,9,1.1666666666666667
uefa.europa,2021,Brøndby IF,4,6,2,2,11,0.3333333333333333
