league,season,raw_name,rank,played,points,gf,ga,ppg
eng.1,2023,Manchester City,1,38,91,96,34,2.3947368421052633
eng.1,2023,Arsenal,2,38,89,91,29,2.3421052631578947
eng.1,2023,Liverpool,3,38,82,86,41,2.1578947368421053
eng.1,2023,Aston Villa,4,38,68,76,61,1.7894736842105263
eng.1,2023,Tottenham Hotspur,5,38,66,74,61,1.736842105263158
eng.1,2023,Chelsea,6,38,63,77,63,1.6578947368421053
eng.1,2023,Newcastle United,7,38,60,85,62,1.5789473684210527
eng.1,2023,Manchester United,8,38,60,57,58,1.5789473684210527
eng.1,2023,West Ham United,9,38,52,60,74,1.368421052631579
eng.1,2023,Crystal Palace,10,38,49,57,58,1.2894736842105263
eng.1,2023,Brighton & Hove Albion,11,38,48,55,62,1.263157894736842
eng.1,2023,AFC Bournemouth,12,38,48,54,67,1.263157894736842
eng.1,2023,Fulham,13,38,47,55,61,1.236842105263158
eng.1,2023,Wolverhampton Wanderers,14,38,46,50,65,1.2105263157894737
eng.1,2023,Everton,15,38,40,40,51,1.0526315789473684
eng.1,2023,Brentford,16,38,39,56,65,1.0263157894736843
eng.1,2023,Nottingham Forest,17,38,32,49,67,0.8421052631578947
eng.1,2023,Luton Town,18,38,26,52,85,0.6842105263157895
eng.1,2023,Burnley,19,38,24,41,78,0.631578947368421
eng.1,2023,Sheffield United,20,38,16,35,104,0.42105263157894735
eng.2,2023,Leicester City,1,46,97,89,41,2.108695652173913
eng.2,2023,Ipswich Town,2,46,96,92,57,2.0869565217391304
eng.2,2023,Leeds United,3,46,90,81,43,1.9565217391304348
eng.2,2023,Southampton,4,46,87,87,63,1.891304347826087
eng.2,2023,West Bromwich Albion,5,46,75,70,47,1.6304347826086956
eng.2,2023,Norwich City,6,46,73,79,64,1.5869565217391304
eng.2,2023,Hull City,7,46,70,68,60,1.5217391304347827
eng.2,2023,Middlesbrough,8,46,69,71,62,1.5
eng.2,2023,Coventry City,9,46,64,70,59,1.391304347826087
eng.2,2023,Preston North End,10,46,63,56,67,1.3695652173913044
eng.2,2023,Bristol City,11,46,62,53,51,1.3478260869565217
eng.2,2023,Cardiff City,12,46,62,53,70,1.3478260869565217
eng.2,2023,Millwall,13,46,59,45,55,1.2826086956521738
eng.2,2023,Swansea City,14,46,57,59,65,1.2391304347826086
eng.2,2023,Watford,15,46,56,61,61,1.2173913043478262
eng.2,2023,Sunderland,16,46,56,52,54,1.2173913043478262
eng.2,2023,Stoke City,17,46,56,49,60,1.2173913043478262
eng.2,2023,Queens Park Rangers,18,46,56,47,58,1.2173913043478262
eng.2,2023,Blackburn Rovers,19,46,53,60,74,1.1521739130434783
eng.2,2023,Sheffield Wednesday,20,46,53,44,68,1.1521739130434783
eng.2,2023,Plymouth Argyle,21,46,51,59,70,1.108695652173913
eng.2,2023,Birmingham City,22,46,50,50,65,1.0869565217391304
eng.2,2023,Huddersfield Town,23,46,45,48,77,0.9782608695652174
eng.2,2023,Rotherham United,24,46,27,37,89,0.5869565217391305
uefa.champions,2023,Bayern Munich,1,6,16,12,6,2.6666666666666665
uefa.champions,2023,Manchester United,4,6,4,12,15,0.6666666666666666
uefa.champions,2023,Galatasaray,3,6,5,10,13,0.8333333333333334
uefa.champions,2023,F.C. København,2,6,8,8,8,1.3333333333333333
uefa.europa,2023,SC Freiburg,2,6,12,17,7,2
uefa.europa,2023,West Ham United,1,6,15,10,4,2.5
uefa.europa,2023,Olympiacos,3,6,7,11,14,1.1666666666666667
uefa.europa,2023,FK TSC,4,6,1,6,19,0.16666666666666666
